precinct_text_designation,Count
H1,374
H101,852
H102,1348
H103,1177
H104,1058
H105,840
H106,293
H107,1087
H11,802
H13H102,470
H13H104,330
H2,378
H201,973
H202,1539
H203,1263
H204,1323
H205,783
H206,771
H207,686
H22,875
H22H104,1090
H3,437
H301,1204
H302,1241
H303,788
H304,448
H305,2228
H306,1893
H307,234
H401,376
H402,961
H403,804
H404,1254
H405,1174
H406,1011
H407,2131
HA,16
HA00075,840
HA0024,67
HA002D,88
HA03001,46
HA11,1323
HA13,2
HA15,1
HA17,453
HA21,1201
HA2201,61
HA24,93
HA25,31
HA27,465
HA31,1405
HA33,106
HA35,176
HA40002,84
HA40003,62
HA402,15
HA41,1151
HA42,532
HA70002,17
HA900,58
HAI,151
HAI1,21
Harmony,68
HC00001,561
HC00002,583
HC00003,383
HC00004,1176
HC00005,853
HC00006,670
HC00007,805
HC00008,356
HC00009,991
HC0001,1008
HC00011,1039
HC00012,687
HC00014,742
HC00015,658
HC00016,995
HC00017,836
HC00018,464
HC00019,557
HC0002,793
HC00021,1830
HC00023,1293
HC00024,820
HC00025,862
HC00026,419
HC00027,613
HC00028,1296
HC00029,623
HC0003,448
HC00031,705
HC00032,194
HC00033,259
HC00034,133
HC00035,336
HC021,301
HCEX23,258
HCEX28,580
HCEX34,2
HCH102A,33
HD401,41
HE2401,14
HE302,80
HER1,559
HER2,600
HER4,376
HF00502,77
HI,69
HI000C,453
HLD,16
HLJ01,54
HN501,162
HO20002,110
HO2401,32
HPK01,78
HPT,112
HU00045,87
Hugoto2,824
Hugoto3,901
Hugoton,496
HV00001,136
HV2601,55
HV2602,10
HVH101,233
HVH114,81
HW000HW,140
HW103,20
HY00044,47
HYT,176
I101,1848
I102,1394
I103,1610
I104,1299
I105,1265
I106,528
I107,1357
I108,1097
I109,1465
I201,1523
I202,1040
I203,1707
I204,2079
I205,1843
I206,719
I207,1675
I210,660
I211,1179
I301,1369
I302,2154
I303,1463
I304,936
I305,1345
I306,482
I307,1106
I308,1082
I309,1079
I310,422
I401,926
I402,1094
I403,1142
I404,746
I405,621
I406,4
I407,929
I408,740
I409,1009
I410,530
I411,1140
I412,858
I413,251
IL00202,38
IL01,1501
IL30001,166
IN403,21
IN800,103
INB0000,187
INC,906
INE,76
IO50002,272
IO60002,59
IR000B,224
J101,565
J102,542
J103,207
J104,536
J201,264
J202,2
J203,706
J204,1007
J301,1259
J302,1047
J401,1266
J402,508
J403,635
JA00010,57
JA502,24
JA900,329
JAT,123
JC,58
JE,24
JE00006,352
JE00008,853
JE102,414
JEL,147
JF,268
JF00001,108
JT0MV,313
JT0MVA,72
JT0VAS,592
JV50001,158
K100001,211
K101,676
K102,1118
K130011,44
K201,1118
K202,1104
K301,1401
K302,546
K401,676
K402,816
K403,275
K404,336
KC01-01,326
KC01-02,349
KC01-03,237
KC02-01,483
KC02-02,363
KC02-03,86
KC02-04,466
KC02-05,653
KC02-06,25
KC02-07,1
KC022,336
KC03-01,925
KC03-02,932
KC03-03,182
KC03-04,661
KC03-05,48
KC04-01,829
KC04-02,342
KC04-03,594
KC04-04,957
KC05-01,940
KC05-02,489
KC05-03,462
KC05-04,515
KC05-05,520
KC06-01,612
KC06-02,246
KC07-01,542
KC07-02,464
KC07-03,609
KC07-04,948
KC07-05,219
KC07-06,1122
KC07-07,493
KC07-08,902
KC07-09,1156
KC07-10,588
KC07-11,16
KC08-01,938
KC08-02,872
KC08-03,1166
KC08-04,1110
KC09-01,170
KC09-02,858
KC09-03,1712
KC09-04,200
KC09-05,75
KC09-06,1025
KC09-07,890
KC09-08,476
KC09-09,355
KC09-10,842
KC09-11,55
KC09-12,961
KC09-13,659
KC09-14,817
KC09-15,2
KC09-16,2185
KC09-17,8
KC09-18,171
KC09-19,42
KC09-21,68
KC09-22,128
KC09-23,78
KC09-24,39
KC09-25,1128
KC10-01,877
KC10-02,840
KC10-03,63
KC10-04,613
KC10-05,994
KC10-06,337
KC10-07,232
KC104,4
KC11-01,939
KC11-02,835
KC11-03,1049
KC11-04,964
KC11-05,1128
KC11-06,768
KC11-07,605
KC11-08,998
KC11-09,507
KC11-10,696
KC11-11,872
KC11-12,263
KC11-13,155
KC11-14,276
KC11-15,298
KC11-16,95
KC11-17,18
KC12-01,972
KC12-02,732
KC12-03,1010
KC12-04,981
KC12-05,478
KC12-06,894
